year,is_rct,journal,title,doi,pmcid,hosts,n_files,n_tabular,n_code_files,biggest_tabular_bytes,tabular_files,code_files,data_urls,code_urls
2026,True,Psychological medicine,Changes in repetitive negative thinking and stress perception mediate treatment effects of a transdiagnostic exercise in,10.1017/s0033291725103085,PMC12885332,osf,21,9,12,3181762,Impuls_PAHCOchanges_V2_open.csv | Main_analysis_v3_revised_OSF.zip | data_ImPuls_mediators.csv | df_teique_not_imputed_clinical.csv | df_imp_nonclinical_controls_250125.rds | df_teique_not_imputed_nonclinical.csv,PAHCO_OSF.r | 1_analysis.R | 1_imputation.R | 2_analysis.R | script_demographics_250125.Rmd,osf.io/5rcuz,
2021,True,Health expectations : an international,The impact of a physician's recommendation and gender on informed decision making: A randomized controlled study in a si,10.1111/hex.13161,PMC8077152,osf,2,1,1,888413,"""Physican's recommendations and gender""_Dataset.sav","""Physician's recommendation and gender""_Syntax.sps",osf.io/y467e,
2026,True,European journal of sport science,Acute Responses and Chronic Adaptations to Cluster Versus Traditional Set Resistance Training in Males and Females,10.1002/ejsc.70160,PMC13140343,osf,4,1,3,558438,data.xlsx,Analyses Chronic.R | Analyses Acute.R | Statistical Assumptions.R,osf.io/mej4d,
2025,True,European journal of sport science,The Effect of Proximity-To-Failure on Perceptual Responses to Resistance Training,10.1002/ejsc.12266,PMC11832030,osf,14,7,5,448604,vol_load_master.xlsx | rep_vol_master.xlsx | modified.longitudinal.models.xlsx | vl_master.xlsx | rf_vl_master.xlsx | mt_master_avg.xlsx,Sex Diff_Data Preparation_Final.qmd | Sex Diff_Data Analysis_Final.qmd | Refalo et al Data Preparation.qmd | Refalo et al Diagnostics.qmd | Refalo et al Data Analysis.qmd,osf.io/34d92,
2023,True,BMC medicine,The effects of creatine supplementation on cognitive performance-a randomised controlled study,10.1186/s12916-023-03146-5,PMC10647179,osf,31,11,1,182514,VLMT final data for osf.xlsx | Stroop final data for osf.xlsx | BVMTR final data for osf.xlsx | D2 final data for osf.xlsx | Context final for osf.xlsx | BDS final data for osf.xlsx,final-ccp-code-main-analysis.Rmd,osf.io/xpwkc,
2026,True,"Geriatrics (Basel, Switzerland)",Effect of a Physio-Feedback Exercise Intervention Program on the Static Balance of Community-Dwelling Older Adults: A Cl,10.3390/geriatrics11010006,PMC12821712,osf,2,1,1,172324,deidentified data.xlsx,statistical code.R,osf.io/8763w,
2025,True,European journal of sport science,Isoenergetic Pre-Exercise Meals Varying in Carbohydrate Similarly Affect Resistance Training Volume Performance Compared,10.1002/ejsc.12274,PMC11874534,osf,10,1,2,42356,CHOdataset.xlsx,CHOanalysiscode.R | CHOanalysiscode_trialeffect.R,osf.io/sc2up,
2024,True,"Healthcare (Basel, Switzerland)",Pilot Randomized Controlled Trial of <i>Lymfit</i>: A Theory-Guided Exercise Intervention for Young Adults with Lymphoma,10.3390/healthcare12111101,PMC11171874,osf,25,1,1,23580,all_raw_data_pilotRCT_lymfit.xlsx,FINAL_ANALYSIS.Rmd,osf.io/n5abk,
2025,True,PeerJ,Lengthened partial repetitions elicit similar muscular adaptations as full range of motion repetitions during resistance,10.7717/peerj.18904,PMC11829627,osf,4,2,0,1409414262,Exercise Technique Demonstration Videos.zip | Data Sheet.xlsx,,osf.io/a6cpz,
2026,True,BMJ open,Anatomy of a failure: a retrospective evaluation of a cognitive bias modification intervention to promote physical activ,10.1136/bmjopen-2025-101558,PMC13141020,zenodo,4,4,0,291484416,R_Scripts.zip | Inquisit_VAAST_IMPACT.zip | Questionnaires.zip | Data_and_Codebooks.zip,,10.5281/zenodo.17292448,
