study_id,year,journal,doi,pmcid,title,folder,A_n_randomised,A_n_analysed_primary,A_n_arms,A_primary_outcome,A_outcome_scale_min,A_outcome_scale_max,A_n_timepoints,A_primary_timepoint,A_cluster_present,A_blinded_assessor,B_baseline_handling,B_covariates,B_analysis_population,B_mitt_definition,B_missing_strategy,B_mi_n_imputations,B_mi_armwise,B_mi_outcome_included,B_outlier_rule,B_outlier_pooled,B_outlier_action,B_transformation,B_floor_ceiling_handled,B_repeat_within_tp,B_model_family,B_time_handling,B_clustering_modelled,B_covariance_structure,B_strat_factors_adjusted,B_se_method,B_df_method,B_multiplicity,B_responder_analysis,B_mcid_source,C_baseline_test_reported,C_adjust_after_baseline_test,C_estimand_stated,C_protocol_available,D_code_deposited,D_code_runs_as_is,D_code_reproduces_paper,D_reproduced_class,D_max_discrepancy_pct,D_integrity_screen,E_core_grid_applicable,E_nodes_not_applicable,Z_coder,Z_date,Z_notes
2026_changes-in-repetitive-negative-thinking_PMC12885332,2026,Psychological medicine,10.1017/s0033291725103085,PMC12885332,Changes in repetitive negative thinking and stress perception mediate treatment effects of a transdiagnostic exercise in,studies/2026_changes-in-repetitive-negative-thinking-and-stre_PMC12885332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
2021_the-impact-of-a-physician-s-recommendati_PMC8077152,2021,Health expectations : an international,10.1111/hex.13161,PMC8077152,The impact of a physician's recommendation and gender on informed decision making: A randomized controlled study in a si,studies/2021_the-impact-of-a-physician-s-recommendation-and-g_PMC8077152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
2026_acute-responses-and-chronic-adaptations_PMC13140343,2026,European journal of sport science,10.1002/ejsc.70160,PMC13140343,Acute Responses and Chronic Adaptations to Cluster Versus Traditional Set Resistance Training in Males and Females,studies/2026_acute-responses-and-chronic-adaptations-to-clust_PMC13140343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
2025_the-effect-of-proximity-to-failure-on-pe_PMC11832030,2025,European journal of sport science,10.1002/ejsc.12266,PMC11832030,The Effect of Proximity-To-Failure on Perceptual Responses to Resistance Training,studies/2025_the-effect-of-proximity-to-failure-on-perceptual_PMC11832030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
2023_the-effects-of-creatine-supplementation_PMC10647179,2023,BMC medicine,10.1186/s12916-023-03146-5,PMC10647179,The effects of creatine supplementation on cognitive performance-a randomised controlled study,studies/2023_the-effects-of-creatine-supplementation-on-cogni_PMC10647179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
2026_effect-of-a-physio-feedback-exercise-int_PMC12821712,2026,"Geriatrics (Basel, Switzerland)",10.3390/geriatrics11010006,PMC12821712,Effect of a Physio-Feedback Exercise Intervention Program on the Static Balance of Community-Dwelling Older Adults: A Cl,studies/2026_effect-of-a-physio-feedback-exercise-interventio_PMC12821712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
2025_isoenergetic-pre-exercise-meals-varying_PMC11874534,2025,European journal of sport science,10.1002/ejsc.12274,PMC11874534,Isoenergetic Pre-Exercise Meals Varying in Carbohydrate Similarly Affect Resistance Training Volume Performance Compared,studies/2025_isoenergetic-pre-exercise-meals-varying-in-carbo_PMC11874534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
2024_pilot-randomized-controlled-trial-of-i-l_PMC11171874,2024,"Healthcare (Basel, Switzerland)",10.3390/healthcare12111101,PMC11171874,Pilot Randomized Controlled Trial of <i>Lymfit</i>: A Theory-Guided Exercise Intervention for Young Adults with Lymphoma,studies/2024_pilot-randomized-controlled-trial-of-i-lymfit-i_PMC11171874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
2025_lengthened-partial-repetitions-elicit-si_PMC11829627,2025,PeerJ,10.7717/peerj.18904,PMC11829627,Lengthened partial repetitions elicit similar muscular adaptations as full range of motion repetitions during resistance,studies/2025_lengthened-partial-repetitions-elicit-similar-mu_PMC11829627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,
2026_anatomy-of-a-failure-a-retrospective-eva_PMC13141020,2026,BMJ open,10.1136/bmjopen-2025-101558,PMC13141020,Anatomy of a failure: a retrospective evaluation of a cognitive bias modification intervention to promote physical activ,studies/2026_anatomy-of-a-failure-a-retrospective-evaluation_PMC13141020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,
2025_a-sensor-augmented-telerehabilitation-sy_PMC12693843,2025,"Sensors (Basel, Switzerland)",10.3390/s25237113,PMC12693843,"A Sensor-Augmented Telerehabilitation System for Knee Osteoarthritis: A Randomized Controlled Trial of Neuromuscular, Fu",studies/2025_a-sensor-augmented-telerehabilitation-system-for_PMC12693843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,
2022_understanding-how-individualised-physiot_PMC8830646,2022,PloS one,10.1371/journal.pone.0263574,PMC8830646,Understanding how individualised physiotherapy or advice altered different elements of disability for people with low ba,studies/2022_understanding-how-individualised-physiotherapy-o_PMC8830646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,
2024_effects-of-anodal-tdcs-on-resting-state_PMC10765911,2024,Journal of neuroengineering and rehabi,10.1186/s12984-023-01300-x,PMC10765911,Effects of anodal tDCS on resting state eeg power and motor function in acute stroke: a randomized controlled trial,studies/2024_effects-of-anodal-tdcs-on-resting-state-eeg-powe_PMC10765911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,
2021_effectiveness-of-moderate-intensity-aero_PMC8198819,2021,Journal of clinical medicine,10.3390/jcm10112432,PMC8198819,Effectiveness of Moderate-Intensity Aerobic Water Exercise during Pregnancy on Quality of Life and Postpartum Depression,studies/2021_effectiveness-of-moderate-intensity-aerobic-wate_PMC8198819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,
2025_comparing-structured-note-taking-and-mul_PMC12667121,2025,BMC medical education,10.1186/s12909-025-08272-7,PMC12667121,Comparing structured note-taking and multiple-choice question writing as learning strategies among physiotherapy student,studies/2025_comparing-structured-note-taking-and-multiple-ch_PMC12667121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,
2019_the-fear-reduction-exercised-early-free_PMC6733445,2019,PLoS medicine,10.1371/journal.pmed.1002897,PMC6733445,The Fear Reduction Exercised Early (FREE) approach to management of low back pain in general practice: A pragmatic clust,studies/2019_the-fear-reduction-exercised-early-free-approach_PMC6733445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,
2025_subphenotypic-classification-of-covid-19_PMC11971945,2025,Journal of rehabilitation medicine,10.2340/jrm.v57.42726,PMC11971945,Subphenotypic classification of COVID-19 survivors and response to telerehabilitation: a latent class analysis,studies/2025_subphenotypic-classification-of-covid-19-survivo_PMC11971945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,
