"study_id","model_as_published","est","ci_lo","ci_hi","p","n","deviations"
"creatine_PMC11944689","Linear regression (ANCOVA): change in whole-body LBM (T1->T2, 7-Tage Wash-in) ~ group + baseline LBM (T1), complete-case (Sec. 2.3.5)",0.507348905795357,0.0568595924137619,0.957838219176952,0.0279430683615738,63,"REPRODUKTION SEHR NAH AM PUBLIZIERTEN WERT (0.507 vs 0.51 kg, p=0.028 vs 0.03). Paper berichtet nur Punktschaetzer + p (0.51 kg, p=0.03), kein CI/SE fuer die Gruppendifferenz -> unser CI ist modellbasiert (t-Verteilung) und im Paper nicht direkt gegenpruefbar. Eine Zeile (record_id=54, Creatine) mit Post-1-Wert '*' (dokumentierter Studienabbruch nach Baseline) wurde per complete-case exkludiert, konsistent mit dem Papertext ('withdrew after the baseline assessment ... not included in the analysis'). Zwei leere Fuellzeilen am Dateiende wurden ebenfalls automatisch entfernt."
"etip_PMC6886967","General linear model ANCOVA: PGWBI global score (spaete Schwangerschaft) ~ Group + PGWBI-Baseline, verfuegbare ITT-Faelle (Statistical methods)",2.59675765219028,-3.77442636877633,8.96794167315689,0.417022409471116,54,"REPRODUKTION SEHR NAH AM PUBLIZIERTEN WERT (Estimate 2.597 vs 2.60; 95% CI [-3.77, 8.97] vs [-3.77, 8.97] im Paper; p=0.417 vs 0.42). Paper deklariert PGWBI nicht als formal 'primaeres' Outcome (siehe registry_check), wird hier aber gemaess Registry/Aufgabenstellung als Primaerschaetzer gefuehrt. Kein weiteres Kovariat (z.B. BMI) im Modell, da Statistical-methods-Abschnitt ausschliesslich die jeweilige Baseline als Kovariate nennt. ITT hier = alle Faelle mit verfuegbarem Post-PGWB (keine Imputation fehlender Werte beschrieben/durchgefuehrt). ABWEICHUNG bei n: nur 54 von 91 Randomisierten haben sowohl Pre_PGWB_index als auch Post_PGWB nicht-fehlend im Deposit (28 Exercise + 31 Control mit nicht-fehlendem Post_PGWB, davon 54 zusaetzlich mit nicht-fehlendem Pre_PGWB_index), waehrend das Paper fuer denselben Kontrast n=74 (38+36) berichtet; trotz dieser Diskrepanz in der Analysestichprobe reproduziert das Modell Punktschaetzer und CI fast exakt, was nahelegt, dass Post_PGWB/Pre_PGWB_index im Deposit die korrekten Variablen sind und die Differenz vermutlich auf zusaetzliche, im Deposit nicht erkennbare Ausschlusskriterien oder eine engere Zeitfenster-Definition im Originaldatensatz des Papers zurueckgeht."
"etre_PMC11945196","LMM: Weight ~ Group*Time + (1|ID), REML; Haupt-Estimand = Time x Group Interaktion (Change-Score-Kontrast eTRE vs Control, lt. Override in eTRE-minus-Control-Konvention); Post-only-Kontrast separat dokumentiert",-2.12625000000008,-3.07031274106769,-1.18218725893248,0.000241281912915082,24,"Interaktionskoeffizient (eTRE:post) wird direkt in unserer eTRE-minus-Control-Konvention berechnet und entspricht der Vorzeichenkonvention in config/published_overrides.csv (publizierter Wert dort: -2.13 [-3.07,-1.18], p=0.001; im Paper selbst als '+2.13' in umgekehrter Control-minus-eTRE-Konvention berichtet). Zusaetzlich reproduzierter Post-only-Kontrast (Group-Haupteffekt bei Time=post, im Paper direkt als eTRE-vs-Control-Post-Differenz berichtet: -2.92 [-4.88,-0.95], p=0.004) = -2.919, 95% CI [-4.991, -0.847], p=0.02042."
"gainingmore_PMC10809978","Bayes-Mehrebenenmodell (brms, gaussian family, weakly-informative brms-Default-Priors): RF50 ~ Group*Time + (1|CODE); Gruppendifferenz-in-Aenderung = Group x Time Interaktion (DELOAD vs TRAD), posteriorer Median mit 95%-Kredibilitaetsintervall",-0.514928853343306,-2.73346830352333,1.7575439674857,NA,39,"Paper nennt 'univariate multilevel regression models' in einem vollstaendig bayesianischen Framework (vermutlich brms/Stan), spezifiziert aber weder Prior-Verteilungen noch die genaue Zufallseffekt-Struktur der 'multilevel'-Komponente im Detail; hier mit brms-Standardprioren (flach/schwach informativ) und (1|CODE) als Random Intercept fuer Messwiederholung Pre/Post reproduziert. Berichteter Wert im Paper ist eine posteriore Wahrscheinlichkeit ('p'=0.273, dass die Differenz die Deload-Aufnahme favorisiert), kein frequentistischer p-Wert -> unsere p-Spalte ist NA, stattdessen wird die posteriore Wahrscheinlichkeit P(Delta>0) separat berechnet und hier dokumentiert. P(GROUPDELOAD:Timepost > 0 | Daten) = 0.320 (Paper: p=0.273 als analoge posteriore Wahrscheinlichkeit fuer Delload-Vorteil)."
"lytras_fms_PMC12942207","Two-way mixed ANOVA (Group x Time) auf NPRS-Lumbar; primaerer Interaktionstest, danach Bonferroni-adjustierter Simple-Effect-t-Test (Gruppenvergleich bei Woche 3, unabhaengiger t-Test, gleiche Varianzen) gemaess 2.7 Statistical Analysis",-1.2,-2.17805907760584,-0.221940922394161,0.0175259456575386,40,"Unadjustierter Simple-Effect-t-Test bei Woche 3 (Bonferroni-Familie im Paper nicht definiert); Interaktion Group x Time aus der gemischten ANOVA in der Konsole. tiert, da SPSS-Verfahren fuer 'Bonferroni-adjusted pairwise t-tests' im Paper nicht mit exaktem Adjustierungsfaktor spezifiziert ist; CI ist NICHT Bonferroni-adjustiert (95% CI des einfachen t-Tests), da das Paper fuer das CI keine explizite Adjustierungsmethode nennt. Gruppen-Codierung (2=Kontrolle/MT allein, 1=Intervention/MT+FMS) gemaess README.docx und SPSS-Value-Labels bestaetigt (weicht von registry.csv arm_control=1 ab, siehe registry_check)."
"mallorca_PMC8198819","ANOVA/unadjustierter Gruppenvergleich (EPDS-Gesamtscore, 1 Monat postpartum) mit Multiple Imputation (mice, PMM, m=20) fuer fehlende EPDS-Werte, gepoolt nach Rubin's Rules; entspricht dem publizierten 'ITT analysis: Imputed' Hauptergebnis (2.7 Statistical Analysis)",-0.694104035542394,-1.22721475222141,-0.160993318863381,0.0109408086608714,294,"SPSS-MI-Modell und exakte Anzahl/Auswahl der Hilfsvariablen des Original-Papers sind nicht dokumentiert (nur 'Multiple imputation ... with chained equation' genannt, ohne m oder Praediktorenliste). Hier mice::mice mit PMM approximiert, Imputationsmodell mit plausiblen Hilfsvariablen (edad, bmi, IPAQ-MET/Woche, Raucherstatus) neben GRUPO, m=20 (im Paper nicht spezifiziert, daher Default gemaess Aufgabenstellung). Analysemodell selbst ist unadjustiert (lm(edimburgtotal~GRUPO)) gemaess Methodentext ('ANOVA tests for continuous measures'), keine Kovariaten. Kann von der SPSS-MI-Implementierung (z.B. andere Zufallszahlen, andere Hilfsvariablen) abweichen."
"physiofeedback_PMC12821712","LMM (Original-Autoren-Code aus deposit/statistical code.R): log(AP_RMS) ~ Group*Time + Age+BMI+Gender+Race + (1|SubjectID)+(1|Site), REML, bobyqa-Optimierer, Race-Referenz 'Other'; Kontrast Group x Time bei T4",0.0209767586913463,-0.0781541115339218,0.120107628916615,0.678429799266033,373,"Der deponierte Original-Code schreibt 'Group * Time' ohne explizites factor(Time); da Time im Datensatz numerisch (1-4) codiert ist, wuerde eine rein lineare Behandlung nur EINEN Interaktionsterm liefern, waehrend Tabelle 3 des Papers separate Kontraste fuer T2, T3, T4 berichtet. Um den im Paper tabellierten T4-Kontrast zu reproduzieren, wurde Time hier explizit als 4-stufiger Faktor (Referenz T1) kodiert -- ansonsten identisch zum Original-Code (inkl. bobyqa-Optimierer und Race-Referenzkategorie 'Other')."
"spadi_PMC4880881","Repeated-measures ANCOVA als GLM-Aequivalent: ANCOVA auf dem Mittel der Wochen 4 und 8 ~ Group + SPADI-Baseline, listenweiser Ausschluss; entspricht dem Zwischen-Subjekt-Effekt der SPSS-GLM-RM-ANCOVA. eline + (1|IDnr); Kontrast IS (Group=1) vs TAU (Group=3)",-20.8295968015683,-28.9147581418301,-12.7444354613065,2.55197573635752e-06,70,"Paper implementiert die 'repeated measures ANCOVA' vermutlich als SPSS-GLM (multivariater Ansatz mit fixem Messwiederholungsfaktor, kein explizites Random-Effects-Modell); hier stattdessen mit einem linear gemischten Modell (Random Intercept je Patient) approximiert, was fuer eine Compound-Symmetry-Kovarianzstruktur strukturell aequivalent ist, aber abweichende Freiheitsgrade/SE liefern kann. Exakter p-Wert im Paper nicht berichtet (nur Signifikanzband ***=p<0.001 in Tabelle 4), daher nur qualitativer p-Vergleich moeglich. Gruppen-Codierung (1=IS,2=ISD,3=TAU) wurde anhand der deskriptiven Baseline-/Follow-up-Mittelwerte in den Rohdaten gegen Tabelle 2 des Papers verifiziert (Group=1 SPADItotPre~64.1/SPADItot4wks~34.1 matcht IS; Group=3 SPADItotPre~61.4/SPADItot4wks~51.9 matcht TAU)."
"tdcs_PMC13257960","Unabhaengiger t-Test (gleiche Varianzen): CAR post-Intervention, aktive a-tDCS vs Sham a-tDCS (Statistical analyses)",6.84840560151008,2.26998485496857,11.4268263480516,0.0056294142806123,20,"Paper nennt Shapiro-Wilk/Levene-Vortests zur Wahl zwischen t-Test (gleiche Varianzen) und Mann-Whitney-U, spezifiziert aber nicht, welcher Test fuer CAR konkret verwendet wurde; hier direkt der Student-t-Test mit gleichen Varianzen (Voreinstellung fuer normalverteilte Daten laut Methodentext) auf die post-Werte gerechnet. Keine Kovariaten (Age/BMI nur deskriptiver Baseline-Vergleich, nicht im Primaermodell)."
"tereco_PMC8318721","Constrained longitudinal data analysis (LMM mit Gleichheitsrestriktion der Baseline-Mittelwerte): 6MWD ~ Time + Treatment(nur post/follow-up) + Zentrum(fix) + (1|Patient); Kontrast = Behandlungseffekt post-Treatment (Statistical analysis)",65.4465719169633,43.7952008689495,87.0979429649772,9.13436714926699e-09,119,"Paper beschreibt cLDA typischerweise als GLS/Mixed-Model mit UNSTRUKTURIERTER Kovarianzmatrix ueber die 3 Zeitpunkte; hier stattdessen ein Random-Intercept-Modell (Compound-Symmetry-Annahme) verwendet, was fuer die Punktschaetzung des Behandlungseffekts bei ausbalanciertem Design meist aehnlich, fuer den Standardfehler aber nicht identisch ist. Alle 119 Patienten mit Baseline-Wert werden unter MAR direkt in die Likelihood einbezogen (kein Ausschluss der 7 fehlenden Post-Werte, kein Imputationsschritt), analog zum 'no imputations'-ITT-Ansatz des Papers. Exakter p-Wert im Paper nicht berichtet (nur 'p<0.001')."
